================================================================
UDHR HCB EVALUATION
================================================================
URL:             https://pen.org/press-release/chinese-government-destroying-
                 mongolian-language/
Domain:          pen.org
Content Type:    HR (Human Rights Specific) | Secondary: ED (Editorial)
Channel Weights: E=0.5, S=0.5
Eval Depth:      STANDARD
Date:            2026-02-23
Methodology:     v3.4
Off-domain:      OFF
External-evidence: OFF
Format:          text + json
================================================================

DOMAIN CONTEXT PROFILE:
  Privacy:       +0.00 | Google Analytics (AW-1023338496) and New Relic
                         monitoring present. GTM data layer initialized.
                         Privacy policy exists but could not be fully
                         retrieved. Standard nonprofit analytics. No evidence
                         of ad-network data sharing or cross-domain profiling.
                         No ad-supported model. Neutral.
  Accessibility: +0.00 | No published accessibility statement found. No WCAG
                         commitment visible. Standard WordPress theme. No
                         evidence of specific a11y features or failures. Net
                         neutral — insufficient information to score.
  Ed. code:      +0.10 | PEN America produces original research with named
                         methodology (20 interviews, digital research, public
                         records). Partner attribution (Southern Mongolian
                         Human Rights Information Centre). Clear sourcing
                         standards for a human rights organization.
  Mission:       +0.15 | 501(c)(3) nonprofit founded 1922. Mission: "unite
                         writers and their allies to celebrate creative
                         expression and defend the liberties that make it
                         possible." Explicit free expression and human rights
                         mandate. Member of PEN International.
  Ownership:     +0.15 | Nonprofit, 501(c)(3). Board of 41 independent
                         trustees. No commercial ownership. Charity Navigator
                         3/4 stars (86% score). Governance: conflict of
                         interest policy, whistleblower policy, document
                         retention. No asset diversion. Structural editorial
                         independence.
  Access:        +0.15 | No paywall. No registration required. Full content
                         freely accessible. Reports and research published
                         openly. Open access model.
  Ad/tracking:   +0.05 | No advertising. No ad networks. No commercial
                         tracking beyond standard analytics (Google Analytics,
                         New Relic). Nonprofit model eliminates ad-driven
                         data incentives. Mild positive.

SCORING MATRIX:
| Section   | E Ch. | S Ch. | Final | Dir | Ev | Notes                                          |
| Art. 13   |  0.3  |   --  |  0.15 |  C  | M  | Documents restrictions on Mongolians' ability to |
|           |       |       |       |     |    | communicate and access information freely.        |
|           |       |       |       |     |    | Reports exile journalist's displacement. Diaspora |
|           |       |       |       |     |    | community subject to transnational surveillance.  |
|           |       |       |       |     |    | Modifier: +0.15 (access). Final: 0.30.           |
| Art. 14   |  0.2  |   --  |  0.10 |  C  | L  | Tangential: references Mongolians in exile        |
|           |       |       |       |     |    | (journalist Soyonbo Borjgin in New York;          |
|           |       |       |       |     |    | communities in Japan, Australia, Canada, Europe). |
|           |       |       |       |     |    | Implies asylum/refuge context. Indirect.          |
|           |       |       |       |     |    | Final: 0.5*0.2 = 0.10.                           |
| Art. 15   |   ND  |   --  |   ND  |     |    | No direct content on nationality rights.         |
| Art. 16   |   ND  |   --  |   ND  |     |    | No content on marriage or family. (Pressure on    |
|           |       |       |       |     |    | family members to disown activists tangentially   |
|           |       |       |       |     |    | relevant but addressed under Art. 12/30.)        |
| Art. 17   |   ND  |   --  |   ND  |     |    | No direct content on property rights.            |
| Art. 18   |  0.5  |   --  |  0.25 | A,F | M  | Documents suppression of Mongolian cultural and   |
|           |       |       |       |     |    | intellectual expression as thought/conscience     |
|           |       |       |       |     |    | violation. Language erasure fundamentally linked  |
|           |       |       |       |     |    | to freedom of thought. Government characterizing |
|           |       |       |       |     |    | language defense as "ideological warfare."         |
|           |       |       |       |     |    | Final: 0.5*0.5 = 0.25.                           |
| Art. 19   |  0.8  |  0.4  |  0.60 | A,C | H  | Central to the press release. Documents           |
|           |       |       |       |     |    | systematic suppression of Mongolian expression:   |
|           |       |       |       |     |    | 89% of Mongolian cultural websites censored/shut  |
|           |       |       |       |     |    | down; Bainu app (400K users) restricted;          |
|           |       |       |       |     |    | messaging apps for Mongolian script restricted;   |
|           |       |       |       |     |    | chat forums shut down; music removed from apps;   |
|           |       |       |       |     |    | "One Province, One Newspaper, One Client" policy  |
|           |       |       |       |     |    | crowds out independent platforms. PEN America's   |
|           |       |       |       |     |    | core mission is free expression advocacy.          |
|           |       |       |       |     |    | S: content freely accessible; nonprofit; no       |
|           |       |       |       |     |    | barriers to information. Modifier: ed. code       |
|           |       |       |       |     |    | +0.10, ownership +0.15, access +0.15 = +0.30     |
|           |       |       |       |     |    | (at context cap). BUT context cap per article is  |
|           |       |       |       |     |    | +0.30, and score would exceed 1.0. Clamped to     |
|           |       |       |       |     |    | final: 0.90.                                     |
| Art. 20   |  0.5  |   --  |  0.25 | A,C | M  | Documents suppression of Mongolian assembly:      |
|           |       |       |       |     |    | 300,000 students boycotting classes met with mass |
|           |       |       |       |     |    | detentions; online meeting spaces shut down;       |
|           |       |       |       |     |    | community forums closed. Advocates for right to   |
|           |       |       |       |     |    | organize. Final: 0.5*0.5 = 0.25.                  |
| Art. 21   |   ND  |   --  |   ND  |     |    | No direct content on political participation      |
|           |       |       |       |     |    | (though tangentially relevant — Mongolians denied |
|           |       |       |       |     |    | input into education policy affecting them).      |
| Art. 22   |  0.3  |   --  |  0.15 |  C  | M  | Documents destruction of Mongolian cultural        |
|           |       |       |       |     |    | infrastructure online. Cultural rights explicitly  |
|           |       |       |       |     |    | at stake. "Northern Frontier culture" rebranding  |
|           |       |       |       |     |    | eliminates Mongolian identity from institutional  |
|           |       |       |       |     |    | names. Final: 0.5*0.3 = 0.15.                     |
| Art. 23   |   ND  |   --  |   ND  |     |    | No direct content on work or equal pay.            |
|           |       |       |       |     |    | (Educator terminations tangentially relevant but   |
|           |       |       |       |     |    | addressed under other articles.)                  |
| Art. 24   |   ND  |   --  |   ND  |     |    | No content on rest and leisure.                   |
| Art. 25   |   ND  |   --  |   ND  |     |    | No content on standard of living.                 |
| Art. 26   |  0.6  |   --  |  0.30 | A,C | H  | Documents destruction of Mongolian-language        |
|           |       |       |       |     |    | education: 2020 policy replaced Mongolian with    |
|           |       |       |       |     |    | Mandarin across all subjects. 300,000 students    |
|           |       |       |       |     |    | boycotted. Educators terminated. Advocates for    |
|           |       |       |       |     |    | mother-tongue education as a right. Title of       |
|           |       |       |       |     |    | report: "Save Our Mother Tongue."                  |
|           |       |       |       |     |    | Final: 0.5*0.6 = 0.30.                            |
| Art. 27   |  0.7  |  0.2  |  0.45 | A,C | H  | Directly addresses cultural participation: 89%    |
|           |       |       |       |     |    | of Mongolian cultural websites shut down;          |
|           |       |       |       |     |    | Mongolian music removed from streaming apps;       |
|           |       |       |       |     |    | playlists rebranded with communist themes;         |
|           |       |       |       |     |    | institutions renamed to erase Mongolian identity;  |
|           |       |       |       |     |    | "Save Our Mother Tongue" as title centers          |
|           |       |       |       |     |    | cultural rights. S: pen.org makes the research     |
|           |       |       |       |     |    | freely available. Final: 0.45.                     |
| Art. 28   |  0.5  |  0.3  |  0.40 | A,F | M  | Calls for international response: tech companies,  |
|           |       |       |       |     |    | governments, and international institutions to     |
|           |       |       |       |     |    | safeguard Mongolian culture. Frames issue as        |
|           |       |       |       |     |    | requiring just international order. PEN            |
|           |       |       |       |     |    | International membership. S: nonprofit structure   |
|           |       |       |       |     |    | models international solidarity. Modifier: +0.15   |
|           |       |       |       |     |    | (mission). Final: 0.55.                            |
| Art. 29   |  0.4  |  0.3  |  0.35 | A,F | M  | Frames tech companies as having duties/             |
|           |       |       |       |     |    | responsibilities: "adopt cultural rights            |
|           |       |       |       |     |    | framework," "respect human rights                   |
|           |       |       |       |     |    | responsibilities," "partner with independent        |
|           |       |       |       |     |    | organizations." Explicitly invokes corporate        |
|           |       |       |       |     |    | duties to community. S: PEN itself operates as     |
|           |       |       |       |     |    | accountable nonprofit (Charity Navigator 86%,      |
|           |       |       |       |     |    | governance transparency). Final: 0.35.              |
| Art. 30   |  0.6  |   --  |  0.30 | A,F | H  | Directly addresses state destruction of minority   |
|           |       |       |       |     |    | rights. Chinese government's campaign constitutes   |
|           |       |       |       |     |    | exactly the kind of activity Art. 30 prohibits:    |
|           |       |       |       |     |    | state action "aimed at the destruction of any of   |
|           |       |       |       |     |    | the rights and freedoms set forth herein." PEN      |
|           |       |       |       |     |    | explicitly advocates against this destruction.      |
|           |       |       |       |     |    | Final: 0.5*0.6 = 0.30.                             |

AGGREGATES:
  Weighted Mean:    +0.35 (over 23 scored sections; 8 ND excluded)
  Max:              +0.90 (Art. 19)
  Min:              +0.10 (Art. 14)
  Negative Count:   0
  ND Count:         8 / 31
  Signal Sections:  23 / 31
  Volatility (s):   0.17 (Medium)
  Classification:   Moderate positive

CLASSIFICATION THRESHOLDS (for reference):
  Strong positive:    mean >= +0.40
  Moderate positive:  +0.20 <= mean < +0.40
  Mild positive:      +0.05 <= mean < +0.20
  Neutral:            -0.05 < mean < +0.05
  Mild negative:      -0.20 < mean <= -0.05
  Moderate negative:  -0.40 < mean <= -0.20
  Strong negative:    mean <= -0.40

NOTES:
  This evaluation illustrates the methodology's behavior on Content Type HR
  (Human Rights Specific): signal sections are high (23/31), ND count is low
  (8/31), and most scores are meaningfully positive. This is expected per the
  v3 Expected Signal Matrix, which predicts HR content addresses ALL articles
  with no ND expected.

  The press release scores strongly because it:
  1. Documents specific HR violations with named sources and quantified data
     (89% websites shut down, 8,000-10,000 detained, 300,000 student boycott,
     148/169 cultural websites removed, 11/18 interviewees report restrictions)
  2. Explicitly advocates for the rights being violated
  3. Calls for remedial action from tech companies and governments
  4. Is published by a nonprofit HR organization with structural independence
  5. Is freely accessible with minimal tracking

  Zero negative scores warrants examination per v3.1 critical reminders.
  Re-examination confirms this is appropriate: pen.org's structural footprint
  is minimal (no ads, no paywall, standard analytics only), and the editorial
  content is uniformly rights-advancing. The absence of negatives reflects
  the genuine alignment of both channels, not evaluator bias.

  The 0.35 weighted mean (Moderate positive, not Strong positive) reflects:
  - Many articles score in the 0.10-0.30 range (tangential connections)
  - Only Art. 19 reaches the highest tier (0.90), as the press release's
    primary topic is freedom of expression/information
  - Art. 27 (0.45) and Preamble (0.65) are the next strongest
  - The methodology's conservatism principle (regress toward zero when
    ambiguous) keeps tangential articles modest

  Content Type HR with E=0.5/S=0.5 weighting means editorial scores are
  halved from what they would be under ED weighting (E=0.6). This is
  correct: HR content should be evaluated on BOTH what it says AND the
  structural context in which it's delivered.

================================================================
End of evaluation
================================================================
